symbol,entity_id,whyfail
UTISXN50.NS,UTISXN50.NS,emptyfail
SPCY,SPCY,emptyfail
HEAT,HEAT,emptyfail
ASLM,ASLM,emptyfail
ZIPP,ZIPP,emptyfail
MAYT,MAYT,emptyfail
HLEMX,HLEMX,emptyfail
IACVV,IACVV,emptyfail
MER.VI,MER.VI,emptyfail
RAYD,RAYD,emptyfail
WBE.AX,WBE.AX,emptyfail
LAWSIKHO.NS,LAWSIKHO.NS,emptyfail
BTFX,BTFX,emptyfail
IBDQ,IBDQ,emptyfail
KTL.NS,KTL.NS,emptyfail
DFND,DFND,emptyfail
HCD.AX,HCD.AX,emptyfail
AUH.AX,AUH.AX,emptyfail
TSIFX,TSIFX,emptyfail
IBHE,IBHE,emptyfail
TMG.AX,TMG.AX,emptyfail
UBM.MI,UBM.MI,emptyfail
RLF.SW,RLF.SW,emptyfail
DE.ST,DE.ST,emptyfail
WBIY,WBIY,emptyfail
GAST,GAST,emptyfail
CREATIVE.NS,CREATIVE.NS,emptyfail
9047.HK,9047.HK,emptyfail
GSIL,GSIL,emptyfail
PLV.TO,PLV.TO,emptyfail
GNHRF,GNHRF,emptyfail
BRRWU,BRRWU,emptyfail
TXSS,TXSS,emptyfail
ID25.SW,ID25.SW,emptyfail
NXST.NS,NXST.NS,emptyfail
PMICTAAKLNEUR.CO,PMICTAAKLNEUR.CO,emptyfail
SLSDX,SLSDX,emptyfail
VPOL.SW,VPOL.SW,emptyfail
BCIM,BCIM,emptyfail
SEPA.L,SEPA.L,emptyfail
098560.KS,098560.KS,emptyfail
JSMTX,JSMTX,emptyfail
2975.HK,2975.HK,emptyfail
QUP,QUP,emptyfail
QDWN,QDWN,emptyfail
JSMVX,JSMVX,emptyfail
HUI.AQ,HUI.AQ,emptyfail
TECHCON.BO,TECHCON.BO,emptyfail
SWPA.L,SWPA.L,emptyfail
CSCVX,CSCVX,emptyfail
SPUD.L,SPUD.L,emptyfail
GHMS,GHMS,emptyfail
DCGTX,DCGTX,emptyfail
IPRP.MI,IPRP.MI,emptyfail
LEX.BO,LEX.BO,emptyfail
DY6.AX,DY6.AX,emptyfail
ZMGD,ZMGD,emptyfail
RAYC,RAYC,emptyfail
ZGSB.TO,ZGSB.TO,emptyfail
INRADIA.BO,INRADIA.BO,emptyfail
BFHIV,BFHIV,emptyfail
WOMN.TO,WOMN.TO,emptyfail
ZMSB.TO,ZMSB.TO,emptyfail
ZCPB.TO,ZCPB.TO,emptyfail
FSBD,FSBD,emptyfail
VAGIX,VAGIX,emptyfail
JCAG.L,JCAG.L,emptyfail
GRNO,GRNO,emptyfail
72GU.L,72GU.L,emptyfail
ASWA.DE,ASWA.DE,emptyfail
VG1.AX,VG1.AX,emptyfail
DRR-UN.TO,DRR-UN.TO,emptyfail
F4DE.DE,F4DE.DE,emptyfail
USMV.L,USMV.L,emptyfail
OUFU.DE,OUFU.DE,emptyfail
OUFU.L,OUFU.L,emptyfail
OSX2.DE,OSX2.DE,emptyfail
TSSP,TSSP,emptyfail
LUMV.L,LUMV.L,emptyfail
LOUF.L,LOUF.L,emptyfail
83012.HK,83012.HK,emptyfail
RPNKS,RPNKS,emptyfail
IMNG,IMNG,emptyfail
BTTRX,BTTRX,emptyfail
LCG,LCG,emptyfail
AURDIS.NS,AURDIS.NS,emptyfail
8HC.DU,8HC.DU,emptyfail
EKGCX,EKGCX,emptyfail
WRCY.L,WRCY.L,emptyfail
FDWM,FDWM,emptyfail
FSLD,FSLD,emptyfail
SYNB,SYNB,emptyfail
FSST,FSST,emptyfail
FDHT,FDHT,emptyfail
CBRA,CBRA,emptyfail
JCHA.L,JCHA.L,emptyfail
RRSECUR.BO,RRSECUR.BO,emptyfail
KRON.L,KRON.L,emptyfail
MVKAGRO-ST.NS,MVKAGRO-ST.NS,emptyfail
HZNM,HZNM,emptyfail
HLA1.L,HLA1.L,emptyfail
ANIAX,ANIAX,emptyfail
NXSL,NXSL,emptyfail
GURPX,GURPX,emptyfail
DSCF,DSCF,emptyfail
SLSSX,SLSSX,emptyfail
FGBFX,FGBFX,emptyfail
SPLG,SPLG,emptyfail
SQEW,SQEW,emptyfail
HYXU,HYXU,emptyfail
