source,RoA,earnYield,grahamNumberToPrice,bVpRatio,revenueGrowth,incomeQuality,returnOnEquity,returnOnCapitalEmployed,currentRatio,grossProfitMargin,freeCashFlowYield,freeCashFlowPerShareGrowth,DcfToPrice,marketCapRevQuants,Altman-Z,Piotroski,tbVpRatio,BoScore,EPStoEPSmean,priceGrowth,CycleHeat,AggScore,rankOfRanks,moatScore,total_return
FRES.L,0.31044339308664104,0.06793830657565632,-0.228827054167759,-0.15476786440928747,2.0479296006888847,-0.23618333364892036,0.2786311632433325,0.17207121417218552,0.11295146964676533,-0.46733854852788226,-0.7869936198974226,-0.3457602758938845,-0.2698946597599821,-0.1471707626041169,-0.04767072687251363,0.24549915104352538,-0.23463519445615272,-0.052299910983623514,-0.1450565897624929,0.04292711132322724,0.2127920264050514,0.037458489520123164,3.2,4,0.8818448916376432
TROW,0.3723009730579933,-0.21804796664924206,-0.25071026460945167,-0.16015625290037255,0.3731139987035362,0.07341942155460662,0.24882011374270696,0.15078252113375426,0.06629754104483963,0.15942704287911846,-0.4455425649710376,-0.04507166494339833,-0.055964382655367066,-0.37015676654974866,0.13218708906335608,0.24549915104352538,-0.2634953658811015,-0.09842601972087599,0.020621128957347523,0.05542705943724851,0.2127920264050514,0.02031168181424887,2.0,5,0.07187549466320294
HSM.L,-0.010137347219477857,1.174023868483715,-0.09528892576544203,-0.10461773649402814,0.15049575107683333,-0.03080610712135138,0.17726922429121394,0.12316826111453463,-0.0078670058342732,-0.09137092391999234,-0.13760387194736984,-0.07417701340955371,-0.04579283233464916,0.2988012452871465,-0.08677659289556838,-1.1841723756217095,-0.1571599473055294,-0.0931037764050399,-0.08538216270866643,0.07210170246451478,0.2127920264050514,0.00043954601403581317,1.8,3,-0.33371790303022064
SEIC,0.44938320776374363,-0.3521882424546737,-0.2679147403912699,-0.17145371155400527,0.22366183151937058,0.05857742606053759,0.23012079332547655,0.1435889126419883,-0.01302695812909948,0.09521422596039136,-0.4935382652794748,0.04729251447168342,-0.10133313989152315,-0.37015676654974866,0.11995432610859103,0.24549915104352538,-0.2885507739175358,-0.04165542435194983,0.0015532201518640618,0.05998263082624713,0.2127920264050514,-0.021219775624081026,1.9,6,0.5014056192284669
ZM,-0.03997083486152371,-0.9488363911382673,-0.33356122027858887,-0.19247962571070026,-0.592148465288625,0.543302557412934,0.14078539034430282,0.1032686720818654,-0.06886938272759824,0.7067291665341295,-0.6782020061080224,-0.005179046560456824,0.5977426138943094,-0.37015676654974866,0.3224118567401226,0.24549915104352538,-0.3067018396356594,-0.06471847872057605,0.20604523251086668,0.028862521840042652,0.2127920264050514,-0.04933848687726171,3.3,4,0.04542186001917553
DPM.TO,-0.08343461866539495,0.07986033875560695,-0.06525336223652231,-0.01995389445636556,0.6751781880623949,0.07912605023414461,0.06748019372543329,0.12054154044373362,-0.01751378445616513,-0.45753832879630996,0.37149912446153394,-0.06595021198481102,-0.24436737538177494,0.07581524134151478,-0.0756743524864377,-1.1841723756217095,-0.007626443905440032,0.031081900964488138,-0.1450565897624929,0.06482474593092284,0.2127920264050514,-0.058834198742859944,0.7,5,3.6056167254301688
SRB.L,-0.32887045628849687,0.06847997736626733,0.03782085549488245,0.0,0.20158981903584502,0.07175029438823592,0.00029135786760442294,0.07152340037455238,-0.11231671582302036,-0.8733205684933512,-0.7033828154057962,-0.8531997007296024,-0.41033010861334934,0.2988012452871465,-0.09547805344615705,1.1986135021536821,0.4343001676177508,0.22090857922933665,-0.12857335265669578,0.027817613198500284,0.2127920264050514,-0.0660782933037614,4.3,2,9.095931833600414
0A1O.L,-0.03997083486152371,-0.9488363911382673,-0.33356122027858887,-0.19247962571070026,-0.592148465288625,0.543302557412934,0.14078539034430282,0.1032686720818654,-0.06886938272759824,0.7067291665341295,-0.6782020061080224,-0.005179046560456824,0.3901709503830385,-0.37015676654974866,0.3224118567401226,0.24549915104352538,-0.3067018396356594,-0.03810726214139159,0.20604523251086668,0.028862521840042652,0.2127920264050514,-0.06743453157047033,3.4,4,0.04542186001917553
CKN.L,-0.26031230840768793,-0.5061226893044803,-0.20691501079463545,-0.11316524718299814,-0.6889262177613574,-0.1036362262150891,0.03775848040811008,0.14294674457213172,-0.11962969476105392,1.3744527609068302,-0.15122209186758262,0.027344443692632753,0.0,0.07581524134151478,-0.04692964936063622,-0.23105802451155288,-0.2973851122929762,0.0026966032800248008,0.0679973736484401,0.07507749460661174,0.2127920264050514,-0.07084211035987027,3.1,4,0.08809618368277405
CDFF.L,0.22102577020053168,1.8999200255248148,0.07503329102164231,0.10168840613357505,-3.20451946641205,-0.005191628749286527,0.12813988342844806,0.049288197196590555,0.3314495201648851,1.4481526999888363,-0.30248023164515486,-0.05492952585649455,0.0,0.2988012452871465,0.056048971399489535,-2.1372867267318663,0.2969243470224805,0.006244765490582025,-0.2723480644341007,0.0900294741980721,0.2127920264050514,-0.0761217020366807,0.5,6,0.04752742945680249
LRCX,0.5491542965850846,-0.3437351263635023,-0.3019820614048934,-0.2049015771765164,0.1787240365592767,0.029348112129782517,0.6658062693593746,0.20116757719153502,-0.07202796418906497,-0.17223538195272012,-0.5763749688963805,0.016478128246672327,-0.3893191861505213,-0.37015676654974866,-0.05595802639957596,-0.23105802451155288,-0.3381476943660204,-0.08068520866808684,0.1368498670160638,0.08661309355225412,0.2127920264050514,-0.10596485795834884,2.6,6,2.209489682941922
0JT5.L,0.5491542965850846,-0.3437351263635023,-0.3019820614048934,-0.2049015771765164,0.1787240365592767,0.029348112129782517,0.6658062693593746,0.20116757719153502,-0.07202796418906497,-0.17223538195272012,-0.5763749688963805,0.016478128246672327,-0.3894322760807965,-0.37015676654974866,-0.05595802639957596,-0.23105802451155288,-0.3381476943660204,-0.08068520866808684,0.1368498670160638,0.08661309355225412,0.2127920264050514,-0.10597616695137635,2.7,6,2.209489682941922
AEP.L,0.010834976150929659,1.3554507576835393,0.0861396782661695,0.06531253948256473,0.05889277567938497,-0.20489569836481142,0.13725814638574954,0.12170508448345022,-0.0008789196052227788,-0.8498757945318813,-0.6392852823411977,-0.30193353034054704,0.3653443529788858,0.07581524134151478,-0.07096495703577534,-0.23105802451155288,0.2734395623299985,0.07011168528062516,-0.1450565897624929,0.04680272487187109,-1.3509301324476344,-0.11277714040064324,1.4,3,0.3297913211516055
