source,date,price,marketCap,prev_price,prev_mcap,removal_reason
0IMT.L,2024-04-01,-20.71838782998914,1452865412.8,14.579115099527556,2894888627.717094,negative_price (-20.7184)
0IMT.L,2024-07-01,-4.255222496287849,1641526195.6,14.579115099527556,2894888627.717094,negative_price (-4.2552)
0IMT.L,2025-04-01,-28.089597616732046,1504978206.6000001,6.6334928415110985,1708247622.0,negative_price (-28.0896)
0IQC.L,2020-01-01,-0.13665787145425312,969210420.0,8.303494811691953,2646277440.0,negative_price (-0.1367)
0IRE.L,2019-10-01,-18.469745500179346,16204388000.0,,,negative_price (-18.4697)
0IRK.L,2014-10-01,-984.774144610883,258750925.24900502,4.636452070292986,265877946.07459,negative_price (-984.7741)
0IRK.L,2020-04-01,-79.8489154049906,909187760.0,134.15353791143872,926706590.0,negative_price (-79.8489)
0IRK.L,2020-10-01,-44.8481136288687,850621986.0,134.15353791143872,926706590.0,negative_price (-44.8481)
0IRK.L,2024-04-01,-24.799764091985416,805813932.0,13.921221673991674,787590450.0,negative_price (-24.7998)
0IRK.L,2025-04-01,-23.43342884525607,903862960.0,3.846886983264707,821733430.0,negative_price (-23.4334)
0IVQ.L,2019-10-01,-64.7174748332637,683212440.0,,,negative_price (-64.7175)
0IVQ.L,2020-01-01,-1.0828592853992058,490968400.0,,,negative_price (-1.0829)
0IVQ.L,2020-04-01,-9.766993957703928,646575000.0,,,negative_price (-9.7670)
0IVQ.L,2020-07-01,-0.20174411454673227,574163750.0,,,negative_price (-0.2017)
0IVQ.L,2022-04-01,-4.576627327240719,729974640.0,5.272854355365378,834624060.0,negative_price (-4.5766)
0IVQ.L,2022-07-01,-15.416145468582743,612327500.0,5.272854355365378,834624060.0,negative_price (-15.4161)
0IVQ.L,2023-07-01,-3.6012526149689896,488856320.0,3.1651316073230458,498065679.99999994,negative_price (-3.6013)
0IW3.L,2020-07-01,-0.8587516296475133,1422779700.0,0.6330413056297494,1496833100.0,negative_price (-0.8588)
0IW3.L,2021-04-01,-14.575575587767817,1783145236.5,4.34989603250478,1652119715.82,negative_price (-14.5756)
0IYQ.L,2020-10-01,-0.02361396272249552,746759992.44,0.7447546089545856,258352120.0,negative_price (-0.0236)
0IYQ.L,2021-01-01,-21.71826378821737,802920510.0000001,0.7447546089545856,258352120.0,negative_price (-21.7183)
0IYQ.L,2021-07-01,-0.44817335108176415,1238629038.3600001,16.80568125763556,811991991.72,negative_price (-0.4482)
0IYQ.L,2022-01-01,0.28135759013588085,1487041710.0,85.87275870471841,1891668500.0,price_mcap_mismatch (price 0.0033x but mcap 0.79x)
0IYQ.L,2024-07-01,29.830118029101246,1204690040.6100001,0.05822621612648535,1085884791.6000001,price_mcap_mismatch (price 512x but mcap 1.11x)
0IYQ.L,2024-10-01,-4.741300414550684,918451240.0,0.05822621612648535,1085884791.6000001,negative_price (-4.7413)
0IYQ.L,2025-01-01,-0.8375841210595701,1039831970.0,0.05822621612648535,1085884791.6000001,negative_price (-0.8376)
0IYQ.L,2025-07-01,-0.5489164469761578,1961937960.0,2.271752108322123,1141908640.0,negative_price (-0.5489)
0J2I.L,2020-01-01,-164.2778623397108,2707573690.0,0.04831632146104429,2238231875.0,negative_price (-164.2779)
0J2I.L,2023-01-01,-42.66834593073016,1446168400.0,6.679001044284495,1507502160.0,negative_price (-42.6683)
0J2I.L,2024-07-01,11.647098457669028,625321200.0,0.11409587817216935,672841680.0,price_mcap_mismatch (price 102x but mcap 0.93x)
0J2X.L,2020-01-01,-1.3262149629764564,2940349230.0,3.7681544698508564,5411244550.0,negative_price (-1.3262)
0J2X.L,2024-10-01,-8.139105784161492,2904210630.0,1.7749724550098496,2563338960.0,negative_price (-8.1391)
0J4V.L,2024-10-01,-0.3751078637825634,304131700.0,0.4538378808816206,528498350.0,negative_price (-0.3751)
0J4V.L,2025-04-01,-0.49527274853040365,337678000.0,0.1599242628992629,234321030.0,negative_price (-0.4953)
0J5H.L,2019-10-01,-0.03311092251988783,388061902.6,,,negative_price (-0.0331)
0J5H.L,2023-07-01,10.606953405405406,1177371828.0,0.060453468598331325,1418014413.21,price_mcap_mismatch (price 175x but mcap 0.83x)
0JOI.L,2021-04-01,-11.091456994114985,13988836180.0,22.31012512706984,11703618400.0,negative_price (-11.0915)
0JOI.L,2025-07-01,0.0,0.0,32.51,15615723359.999998,zero_price
0JPB.L,2025-07-01,-53.21443215556017,14147420399.999998,63.945,12145201740.0,negative_price (-53.2144)
0JRL.L,2022-04-01,-3.7514814814814814,7350760000.0,15.04,8061440000.0,negative_price (-3.7515)
0JSC.L,2020-07-01,-41.171275510204076,5467910721.32,2.424999632310525,2686900000.0,negative_price (-41.1713)
0JVI.L,2022-07-01,-73.62727272727273,11980040800.0,15.968263473053891,14545367000.0,negative_price (-73.6273)
0JYA.L,2025-07-01,14685.43595822997,58592960000.0,41.5275,51327990000.00001,price_mcap_mismatch (price 354x but mcap 1.14x)
0JZU.L,2019-10-01,-8.900237321542495,24968706641.559998,,,negative_price (-8.9002)
0JZU.L,2020-10-01,-408.04666108886636,24126660000.0,49.844222972972965,24854039999.999996,negative_price (-408.0467)
0JZU.L,2021-01-01,-4.671591263095121,27740239999.999996,49.844222972972965,24854039999.999996,negative_price (-4.6716)
0JZU.L,2021-10-01,-1.3283478476772108,30724458000.0,26.62392778458753,29871688000.0,negative_price (-1.3283)
0JZU.L,2022-01-01,-3364.5724999999998,37683212000.0,26.62392778458753,29871688000.0,negative_price (-3364.5725)
0K3W.L,2020-10-01,0.0,1477957356.6,3.26,974087999.9999999,zero_price
0K45.L,2024-07-01,-1.4548243992606285,1973078000.0,3.365753424657534,1827000000.0,negative_price (-1.4548)
0K45.L,2024-10-01,-1.5727272727272725,2005416000.0,3.365753424657534,1827000000.0,negative_price (-1.5727)
0K45.L,2025-04-01,0.0,1617567000.0,3.441174329168731,1364025000.0,zero_price
0K45.L,2025-07-01,-0.0552991651205937,1824770000.0,3.441174329168731,1364025000.0,negative_price (-0.0553)
0K76.L,2020-04-01,-3.2066634859102106,3088367040.2599998,1.2613338990869798,2079508159.8899999,negative_price (-3.2067)
0KEF.L,2020-04-01,-5.927187624142169,44714250000.0,17.976753644611136,41063880000.0,negative_price (-5.9272)
0KEJ.L,2021-04-01,-6.9925,21521964020.0,0.756266304347826,22182545560.0,negative_price (-6.9925)
0KU1.L,2025-07-01,0.0,34347400000.0,38.3425,30858044000.0,zero_price
0L2T.L,2025-04-01,27.901020851386537,12109824000000.0,49485.18125211456,12907912560000.0,price_mcap_mismatch (price 0.0006x but mcap 0.94x)
0L2T.L,2025-07-01,7.916739276030314,16140470000000.0,49485.18125211456,12907912560000.0,"suspicious_price_vs_mcap (price=$7.916739, mcap=$16140.47B, implied_shares=2e+12)"
0L9E.L,2022-10-01,458.0178507727457,11458353080.97,4.144294234592445,11040161040.0,price_mcap_mismatch (price 111x but mcap 1.04x)
0LD4.L,2025-07-01,0.0,0.0,7.58782639766004,3445112220.0,zero_price
0LJE.L,2020-04-01,0.702790761197486,6205919888.74,74.08277040865374,9684747623.76,price_mcap_mismatch (price 0.0095x but mcap 0.64x)
0LPE.L,2023-01-01,-172.90089786718127,2602702621.44,7.44441782848442,2409767700.0,negative_price (-172.9009)
0LPE.L,2025-07-01,-0.0,0.0,3.6499999999999995,1901066000.0,zero_price
0LQQ.L,2025-07-01,0.0,0.0,0.21781791000000003,22287128551.200005,zero_price
0M1R.L,2025-07-01,0.0,0.0,17.025,39498000000.0,zero_price
0MDP.L,2025-01-01,0.0,422390080.0,2.3175,474874290.0,zero_price
