as_of,logged_at,filter_commit,list,rank,ticker,company,aggscore
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,10,RAT.L,Rathbones Group Plc,-2.169980288196602
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,11,PNFP,"Pinnacle Financial Partners, Inc.",-2.7608550510750947
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,12,SDR.L,Schroders plc,-3.1683754303695117
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,13,APAM,Artisan Partners Asset Management Inc.,-3.4770289310854547
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,14,VRTS,"Virtus Investment Partners, Inc.",-5.391850116352057
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,15,ABDN.L,Aberdeen Group plc,-6.118230456070245
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,16,SCHW,The Charles Schwab Corporation,-6.421429561430566
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,17,HLI,"Houlihan Lokey, Inc.",-6.427619313744089
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,18,RJF,"Raymond James Financial, Inc.",-6.428409540056519
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,19,BEN,"Franklin Resources, Inc.",-7.5602606985592775
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,20,EVR,Evercore Inc.,-7.738604241397592
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,21,BLK,"BlackRock, Inc.",-10.315900550943962
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,1,PAG.L,Paragon Banking Group PLC,6.280653504419764
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,2,FINV,FinVolution Group,6.090254867101486
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,3,OPBK,OP Bancorp,2.232084664338939
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,4,PKBK,"Parke Bancorp, Inc.",1.5033724803805124
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN3,5,MPCK.DE,MPC Münchmeyer Petersen Capital AG,1.2423237413125572
