pool,source,status,n_capped,metric_before,contrib_before,share_before,share_after,cap_value,base_before,base_after,agg_delta
general,ADI,ok,0,CycleHeat,-0.12172958048324639,0.20158852771945993,0.20158852771945993,,0.6038517263871831,0.6038517263871831,0.0
general,TOT.TO,ok,0,earnYield,0.19310441956376181,0.17637302748436343,0.17637302748436343,,1.0948636666163807,1.0948636666163807,0.0
general,HEN.DE,ok,0,freeCashFlowPerShareGrowth,-0.0831876420723843,0.15876169044438662,0.15876169044438662,,0.5239780569200004,0.5239780569200004,0.0
general,GAMA.L,ok,0,interestCoverage,0.10295844537185694,0.18744966558918916,0.18744966558918916,,0.5492591573756048,0.5492591573756048,0.0
general,PEY.TO,ok,0,earnYield,0.14065037057839486,0.2120203457460833,0.2120203457460833,,0.6633814791852027,0.6633814791852027,0.0
general,009540.KS,ok,0,freeCashFlowPerShareGrowth,-0.16864836489972693,0.1695630205745328,0.1695630205745328,,0.9946058069046735,0.9946058069046735,0.0
general,041830.KQ,ok,0,interestCoverage,0.16023533340909726,0.1715144909477473,0.1715144909477473,,0.9342378741509003,0.9342378741509003,0.0
general,035420.KS,ok,1,freeCashFlowPerShareGrowth,0.2330731774600663,0.25194130095703476,0.24999999999999997,0.23067862401583886,0.9251090495075829,0.9227144960633555,-0.002394553444227454
general,340570.KQ,ok,0,interestCoverage,0.17640360565390334,0.15192883224387968,0.15192883224387968,,1.1610936716128786,1.1610936716128786,0.0
general,PBYI,ok,0,earnYield,0.14366128390904437,0.19184812362548717,0.19184812362548717,,0.7488281938555216,0.7488281938555216,0.0
general,GAP,ok,0,freeCashFlowPerShareGrowth,-0.15987577432015063,0.2325515130877994,0.2325515130877994,,0.6874854185953623,0.6874854185953623,0.0
general,HRMY,ok,0,RoA,0.09049635330777615,0.1292577698493415,0.1292577698493415,,0.7001231215210942,0.7001231215210942,0.0
general,TEL,ok,0,interestCoverage,0.08162041079029635,0.21662016258112823,0.21662016258112823,,0.3767904603973695,0.3767904603973695,0.0
general,CLA-B.ST,ok,0,incomeQuality,-0.07834042299176458,0.17661759612088426,0.17661759612088426,,0.4435595586871492,0.4435595586871492,0.0
general,PSO,ok,0,CycleHeat,0.07420276100020491,0.2237579258566001,0.2237579258566001,,0.3316207044561152,0.3316207044561152,0.0
general,SUBC.OL,ok,0,EPStoEPSmean,-0.16957338909546665,0.2002472454767898,0.2002472454767898,,0.8468200833010785,0.8468200833010785,0.0
general,MYRG,ok,0,CycleHeat,-0.11927973893835196,0.21865885375381303,0.21865885375381303,,0.545506101813963,0.545506101813963,0.0
general,OII,ok,1,EPStoEPSmean,-0.16827371412832792,0.3406933857984852,0.25,0.10854723273737903,0.493915412340465,0.4341889309495161,0.05972648139094888
general,QTWO,ok,0,earnYield,-0.1722944039203893,0.1696452175476829,0.1696452175476829,,1.0156160392317677,1.0156160392317677,0.0
general,BOSS.DE,ok,1,freeCashFlowPerShareGrowth,-0.2329137249440614,0.3781985590185398,0.24999999999999994,0.1276455505016676,0.6158503764490643,0.5105822020066705,0.10526817444239384
general,GTT.PA,ok,0,returnOnCapitalEmployed,0.16589337771348592,0.21075022556109732,0.21075022556109732,,0.7871563471489276,0.7871563471489276,0.0
general,DLB,ok,0,earnYield,-0.07612600304622884,0.16447228064230185,0.16447228064230185,,0.4628500483421243,0.4628500483421243,0.0
general,INFY,ok,0,interestCoverage,0.14179493056732492,0.18067144292960882,0.18067144292960882,,0.784822040872112,0.784822040872112,0.0
general,ENS,infeasible,0,Piotroski,0.0208828830293102,0.8663179712664164,0.8663179712664164,,0.024105332824601124,0.024105332824601124,0.0
general,GCT,ok,0,earnYield,0.209133552879136,0.2348601839331667,0.2348601839331667,,0.8904598019843515,0.8904598019843515,0.0
general,DDI,ok,0,bVpRatio,0.1465837511001661,0.1460750558426259,0.1460750558426259,,1.0034824238444122,1.0034824238444122,0.0
general,TCL-A.TO,ok,0,earnYield,0.2655095785312714,0.21883696291751675,0.21883696291751675,,1.2132757418651725,1.2132757418651725,0.0
general,QGEN,ok,0,earnYield,-0.08036656296237024,0.17494196885355107,0.17494196885355107,,0.4593898393223606,0.4593898393223606,0.0
general,STORY-B.ST,ok,0,freeCashFlowPerShareGrowth,-0.2114269451207271,0.18553897757039353,0.18553897757039353,,1.1395284585984724,1.1395284585984724,0.0
general,META,ok,0,incomeQuality,0.19617172831890956,0.1808070994102848,0.1808070994102848,,1.0849780177810362,1.0849780177810362,0.0
general,KFY,ok,1,incomeQuality,-0.07519998681644967,0.25485261445995167,0.25,0.07329082299543382,0.29507245580275115,0.2931632919817353,0.001909163821015844
general,BWLP,ok,0,earnYield,0.2700966660572078,0.23184927637050268,0.23184927637050268,,1.1649666122985198,1.1649666122985198,0.0
general,PET.TO,ok,0,incomeQuality,0.0812495264084621,0.11236976657014519,0.11236976657014519,,0.7230550430817463,0.7230550430817463,0.0
general,JEN.DE,ok,1,freeCashFlowPerShareGrowth,-0.21477404173776896,0.4580847091262236,0.25,0.08469273257520948,0.46885223946339744,0.33877093030083794,0.13008130916255947
general,TNK,ok,0,earnYield,0.298303676366226,0.20082001805588162,0.20082001805588162,,1.4854279929564487,1.4854279929564487,0.0
general,CVE,ok,0,incomeQuality,0.11942406815043048,0.17509543906613584,0.17509543906613584,,0.6820512789332134,0.6820512789332134,0.0
general,ASSA-B.ST,ok,0,incomeQuality,-0.0651360386658513,0.15541226286982338,0.15541226286982338,,0.4191177546935961,0.4191177546935961,0.0
general,383220.KS,ok,0,earnYield,0.18134630429722268,0.17663754388437855,0.17663754388437855,,1.0266577552500749,1.0266577552500749,0.0
general,CRTO,ok,0,freeCashFlowPerShareGrowth,0.21675752775196558,0.23896267755750702,0.23896267755750702,,0.9070769124596969,0.9070769124596969,0.0
general,GOOG,ok,0,interestCoverage,0.17355779818461625,0.1683740818921845,0.1683740818921845,,1.0307869016072857,1.0307869016072857,0.0
general,INTU,ok,0,CycleHeat,0.11303614601413416,0.16740391670438537,0.16740391670438537,,0.6752299960444893,0.6752299960444893,0.0
