source,verdict,dollarVolume_usd,dollarVolume_basis,floor_usd
MULT.DE,ejected_below_floor,63370.5938394,2026-08-21|EUR,1000000.0
2020.OL,ejected_below_floor,134135.1058464,2026-08-21|NOK,1000000.0
ALPM.PA,ejected_below_floor,123568.71232199999,2026-08-21|EUR,1000000.0
AMG.DE,ejected_below_floor,182953.502889,2026-08-21|EUR,1000000.0
0QYZ.L,ejected_below_floor,236129.945664,2026-08-21|CAD,1000000.0
ALLUX.PA,ejected_below_floor,109965.81284,2026-08-21|EUR,1000000.0
BVFL,ejected_below_floor,437653.44000000006,2026-08-21|USD,1000000.0
036800.KQ,ejected_below_floor,572423.729633847,2026-08-21|KRW,1000000.0
009180.KS,ejected_below_floor,142152.1793160825,2026-08-21|KRW,1000000.0
200670.KQ,ejected_below_floor,582691.180749015,2026-08-21|KRW,1000000.0
CXI.TO,ejected_below_floor,100925.54741600002,2026-08-21|CAD,1000000.0
058860.KS,ejected_below_floor,145453.410421326,2026-08-21|KRW,1000000.0
0O6D.L,ejected_below_floor,3538.3365599999997,2026-08-21|EUR,1000000.0
267980.KQ,ejected_below_floor,144288.5478273,2026-08-21|KRW,1000000.0
MPCK.DE,ejected_below_floor,97570.912648,2026-08-21|EUR,1000000.0
A4S.DE,ejected_below_floor,5555.74782,2026-08-21|EUR,1000000.0
0HC2.L,ejected_below_floor,6528.01,2026-08-21|USD,1000000.0
SFCA.PA,ejected_below_floor,750.8825688,2026-08-21|EUR,1000000.0
VUXEN.ST,ejected_below_floor,43311.178680000005,2026-08-21|SEK,1000000.0
0MT8.L,ejected_below_floor,10974.437543999999,2026-08-21|EUR,1000000.0
DRW8.DE,ejected_below_floor,144563.425308,2026-08-21|EUR,1000000.0
IVU.DE,ejected_below_floor,299697.10663199995,2026-08-21|EUR,1000000.0
SVED-B.ST,ejected_below_floor,372700.73086,2026-08-21|SEK,1000000.0
CASE.ST,ejected_below_floor,7088.984460000001,2026-08-21|SEK,1000000.0
XAU.TO,ejected_below_floor,93481.322832,2026-08-21|CAD,1000000.0
CCL-A.TO,ejected_below_floor,15074.694180000002,2026-08-21|CAD,1000000.0
0QJQ.L,ejected_below_floor,56903.5845,2026-08-21|EUR,1000000.0
068330.KQ,ejected_below_floor,92081.4002251605,2026-08-21|KRW,1000000.0
LOVE.TO,ejected_below_floor,67849.231488,2026-08-21|CAD,1000000.0
002720.KS,ejected_below_floor,144679.05942618,2026-08-21|KRW,1000000.0
MBB.DE,ejected_below_floor,615804.822432,2026-08-21|EUR,1000000.0
BIJ.DE,ejected_below_floor,270535.89888,2026-08-21|EUR,1000000.0
REC.L,ejected_below_floor,199611.4956486,2026-08-21|GBp,1000000.0
ARPL.ST,ejected_below_floor,96127.619239,2026-08-21|SEK,1000000.0
0N2Q.L,ejected_below_floor,26288.232306,2026-08-21|EUR,1000000.0
NOVA.IC,ejected_below_floor,63266.0793576,2026-08-21|ISK,1000000.0
