pool,source,n_flags,flags,status,note
general,PCVX,1,returnOnAssets,EJECTED,
general,PENN,3,"netDebtToEBITDA, uCurrentRatio, uInterestCoverage",EJECTED,
general,PEP,1,uCurrentRatio,EJECTED,
general,PG,1,uCurrentRatio,EJECTED,
general,PHI,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,PL,1,returnOnAssets,EJECTED,
general,PLAY,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,PLNT,1,netDebtToEBITDA,EJECTED,
general,PLSM,1,returnOnAssets,EJECTED,
general,PLT.OL,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,PLUG,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,PM,1,uCurrentRatio,EJECTED,
general,PMT,3,"CFOlessEarnings, netDebtToEBITDA, uCurrentRatio",EJECTED,
general,PNN.L,1,netDebtToEBITDA,EJECTED,
general,PNW,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,PPL,1,netDebtToEBITDA,EJECTED,
general,PRMB,1,netDebtToEBITDA,EJECTED,
general,PROX.BR,1,uCurrentRatio,EJECTED,
general,PRTA,1,returnOnAssets,EJECTED,
general,PRX.AS,1,CFOlessEarnings,EJECTED,
general,PSK.TO,1,uCurrentRatio,EJECTED,
general,PSNY,4,"netDebtToEBITDA, returnOnAssets, uCurrentRatio, uInterestCoverage",EJECTED,
general,PUB.PA,1,uCurrentRatio,EJECTED,
general,PYPD,1,returnOnAssets,EJECTED,
general,QBR-B.TO,1,uCurrentRatio,EJECTED,
general,QSI,1,returnOnAssets,EJECTED,
general,QSR,1,netDebtToEBITDA,EJECTED,
general,QUAD,1,uCurrentRatio,EJECTED,
general,QUBT,1,uInterestCoverage,EJECTED,
general,RCAT,1,returnOnAssets,EJECTED,
general,RCEL,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,RCI,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,RCKT,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,RDC.DE,1,uInterestCoverage,EJECTED,
general,RDW,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,RELX,1,uCurrentRatio,EJECTED,
general,RENE.LS,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,REPL,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,RH,1,netDebtToEBITDA,EJECTED,
general,RKT.L,1,uCurrentRatio,EJECTED,
general,RLMD,1,returnOnAssets,EJECTED,
general,RNO.PA,1,netDebtToEBITDA,EJECTED,
general,RNWH.L,1,uCurrentRatio,EJECTED,
general,ROL,1,uCurrentRatio,EJECTED,
general,RPD,1,netDebtToEBITDA,EJECTED,
general,RUM,1,returnOnAssets,EJECTED,
general,RWE.DE,1,uInterestCoverage,EJECTED,
general,RXL.PA,1,netDebtToEBITDA,EJECTED,
general,RYAAY,1,uCurrentRatio,EJECTED,
general,SAF.PA,1,uCurrentRatio,EJECTED,
general,SANA,1,returnOnAssets,EJECTED,
general,SATS.OL,1,uCurrentRatio,EJECTED,
general,SAX.DE,1,uCurrentRatio,EJECTED,
general,SBH,1,netDebtToEBITDA,EJECTED,
general,SBMO.AS,1,netDebtToEBITDA,EJECTED,
