,source,price,PE-ratio,beta,sector,rating_fmp,currentRatio,dividendYield,GrahamNumberToPrice,GrossProfitMargin_ttm,DCF-to-Price,M-Score,C-Score
70,0M6I.L,63.0500,6.3895,1.1840,Industrials,Buy,1.0598,2.9842,0.4590,14.1069,0.7122,-0.6371,4.0000
71,0QNG.L,267.5000,15.5355,0.4290,Industrials,Buy,2.5817,1.8673,0.3615,56.2901,-0.2702,0.4794,4.5000
72,ABF.L,2131.0000,6.6689,0.9990,Consumer Defensive,Buy,1.6090,3.6622,0.0073,8.3789,1.5351,-0.6887,1.0000
73,NEXN,6.6250,15.8429,1.5240,Communication Services,Buy,1.2523,0.0000,0.5528,75.9088,NaN,-0.6178,2.0000
74,CML.L,300.0000,-11.9640,0.2520,Technology,Sell,3.9384,2.3497,NaN,57.1052,-0.9344,-0.8640,2.0000
75,PAGS,9.8650,6.9972,1.4410,Technology,Neutral,1.4200,1.2576,4.7333,50.0511,NaN,-0.2565,4.0000
76,KIN2.DE,23.2100,9.0250,1.1980,Basic Materials,Buy,2.7398,0.1916,0.3342,44.9683,0.3530,-0.5520,3.0000
77,TK,9.1650,-4.1231,0.0690,Energy,Buy,5.6242,6.1618,NaN,28.3721,NaN,-0.6307,2.5000
78,0DZJ.L,59.4000,11.1258,0.5930,Industrials,Buy,1.2712,0.0379,0.8191,4.2019,NaN,0.3149,5.5000
79,MFC.TO,49.2100,9.9324,0.8910,Financial Services,Neutral,0.0000,1.1497,0.5449,38.8369,NaN,-1.4283,1.0000
80,MFC-PC.TO,22.1600,9.9324,0.8910,Financial Services,Neutral,0.0000,1.1497,1.2099,38.8369,NaN,-1.4283,1.0000
81,0VL5.L,61.2100,8.4513,1.1490,Basic Materials,Buy,1.6748,0.0000,0.3437,60.0071,0.2460,-0.7416,4.5000
82,MER.L,373.5000,3.4953,0.3620,Consumer Cyclical,Buy,0.7748,2.9070,0.0098,21.9436,NaN,inf,3.0000
83,F3A.DE,218.1000,12.9703,1.5890,Energy,Neutral,1.9100,0.0000,0.4111,40.5312,-0.2684,-0.3509,4.0000
84,0R06.L,254.6400,12.9703,1.5890,Technology,Buy,1.9100,0.0000,0.3521,40.5312,-0.3329,-0.3442,4.0000
85,FSLR,256.4750,12.9703,1.5890,Energy,Neutral,1.9100,0.0000,0.3496,40.5312,-0.3329,-0.3442,4.0000
