,source,price,PE-ratio,beta,sector,rating_fmp,currentRatio,dividendYield,GrahamNumberToPrice,GrossProfitMargin_ttm,DCF-to-Price,M-Score,C-Score,CycleHeat,moatScore
57,0A1O.L,83.6550,10.7390,0.8710,Technology,Strong Buy,4.3584,0.0000,0.4482,76.8734,2.2131,-0.6088,2.0000,-0.565498385284464,5
58,SAFT,76.4500,9.1991,0.2280,Financial Services,Buy,28.1957,1.3026,0.6719,11.2870,NaN,NaN,2.5000,0.5385598316668997,5
59,VH2.DE,87.7000,14.0517,0.8620,Energy,Buy,2.2230,0.0000,0.2330,53.9942,0.4739,-0.8641,3.0000,-0.5166885149807153,2
60,0QQM.L,144.5000,10.1113,0.2800,Healthcare,Buy,4.5478,4.4633,0.4772,32.3301,1.5002,-0.0113,1.5000,0.6501658772220309,4
61,GMR.L,40.7250,14.0806,0.5820,Consumer Cyclical,Strong Buy,5.7701,0.0000,0.0040,63.9591,NaN,inf,6.0000,0.7139618237827546,4
62,AEM.TO,252.4100,20.2842,0.6270,Basic Materials,Buy,2.1200,0.2177,0.1852,53.0128,1.4422,-0.7239,3.0000,-0.23320661491510156,5
63,AEM,182.0700,20.2842,0.6270,Basic Materials,Buy,2.1200,0.2177,0.2568,53.0128,0.7926,-0.4983,3.0000,-0.23526621636598977,4
64,0R2J.L,249.1600,20.2842,0.6270,Basic Materials,Buy,2.1200,0.2177,0.1876,53.0128,0.7953,-0.4983,3.0000,-0.23526621636598977,4
65,TCBX,38.0100,7.7808,0.7310,Financial Services,Buy,27.8964,0.2109,0.8121,39.8164,0.7917,-0.7935,1.0000,0.013342568667003769,3
66,SCSC,39.5900,12.1815,1.2930,Technology,Buy,2.1568,0.0000,0.7335,13.8211,1.0627,-0.5617,3.5000,-0.565498385284464,3
67,EVER,25.2100,10.9768,0.4570,Communication Services,Neutral,0.7976,0.0000,0.2984,96.8238,0.5300,-0.8760,3.0000,0.7139618237827546,5
68,0VL5.L,68.3800,7.9011,1.1470,Basic Materials,Buy,1.3773,0.0000,0.5151,56.7756,0.2187,-0.2806,5.0000,-0.565498385284464,5
69,TXG.TO,69.4500,7.9011,1.1470,Basic Materials,Buy,1.3773,0.0000,0.5072,56.7756,0.1834,-0.2803,5.0000,-0.565498385284464,5
70,0J7X.L,212.0000,11.9413,0.9990,Industrials,Buy,3.0621,0.0000,0.4491,41.6652,1.8804,-0.8723,3.0000,-0.565498385284464,3
71,MBB.DE,213.0000,11.9413,0.9990,Industrials,Buy,3.0621,0.0000,0.4470,41.6652,1.8804,-0.8723,3.0000,-0.565498385284464,3
72,0QNG.L,291.2500,15.5355,0.4470,Industrials,Neutral,2.5817,1.8673,0.3320,56.2901,-0.2470,0.4794,4.5000,0.7139618237827546,3
73,NICE,117.2200,14.0128,0.2800,Technology,Buy,1.8337,0.0000,0.5444,67.0288,NaN,-0.5708,3.0000,0.29641228898963495,3
74,YETI,47.4700,17.5535,1.7690,Consumer Cyclical,Buy,2.1634,0.0000,0.2068,57.7035,1.1798,-0.4548,2.0000,0.6169815290381369,3
75,MER.L,359.5000,3.4953,0.3650,Consumer Cyclical,Buy,0.7748,2.9070,0.0102,21.9436,NaN,inf,3.0000,-0.565498385284464,3
76,MTE.DE,289.0000,12.3589,1.5030,Technology,Neutral,2.4598,0.0517,0.2561,43.8050,-0.0838,-1.6637,4.0000,-0.565498385284464,4
77,KGC,30.5500,13.0525,1.1990,Basic Materials,Neutral,2.8300,0.1180,0.2740,45.5558,0.4315,-0.4744,3.5000,-0.565498385284464,5
