source,verdict,dollarVolume_usd,dollarVolume_basis,floor_usd
CCL-A.TO,ejected_below_floor,15090.8067765,2026-08-21|CAD,1000000.0
0QJQ.L,ejected_below_floor,56613.564000000006,2026-08-21|EUR,1000000.0
068330.KQ,ejected_below_floor,92874.7796511843,2026-08-21|KRW,1000000.0
LOVE.TO,ejected_below_floor,67921.7521824,2026-08-21|CAD,1000000.0
002720.KS,ejected_below_floor,145925.623757788,2026-08-21|KRW,1000000.0
MBB.DE,ejected_below_floor,612666.249984,2026-08-21|EUR,1000000.0
BIJ.DE,ejected_below_floor,269157.05856000003,2026-08-21|EUR,1000000.0
REC.L,ejected_below_floor,198820.1613972,2026-08-21|GBp,1000000.0
ARPL.ST,ejected_below_floor,95504.95986500001,2026-08-21|SEK,1000000.0
0N2Q.L,ejected_below_floor,26154.249072000006,2026-08-21|EUR,1000000.0
0RFX.L,ejected_below_floor,47200.9356,2026-08-21|CHF,1000000.0
0VJA.L,ejected_below_floor,27616.123395,2026-08-21|CAD,1000000.0
0J7X.L,ejected_below_floor,60653.33168,2026-08-21|EUR,1000000.0
TIMA.DE,ejected_below_floor,184031.825376,2026-08-21|EUR,1000000.0
ALCAF.PA,ejected_below_floor,23730.736320000004,2026-08-21|EUR,1000000.0
DPAM.PA,ejected_below_floor,10087.824,2026-08-21|EUR,1000000.0
072130.KS,ejected_below_floor,222829.7256384017,2026-08-21|KRW,1000000.0
IOF.L,ejected_below_floor,256556.979,2026-08-21|GBp,1000000.0
0AH3.L,ejected_below_floor,22378.62627,2026-08-21|CAD,1000000.0
VIL.PA,ejected_below_floor,284039.729664,2026-08-21|EUR,1000000.0
FDX.DE,ejected_below_floor,28020.960320000002,2026-08-21|EUR,1000000.0
BAR.BR,ejected_below_floor,701573.3272192,2026-08-21|EUR,1000000.0
0JW2.L,ejected_below_floor,888723.64,2026-08-21|USD,1000000.0
SII.DE,ejected_below_floor,202542.0548,2026-08-21|EUR,1000000.0
AFGB,ejected_below_floor,172376.6,2026-08-21|USD,1000000.0
AFGD,ejected_below_floor,183576.9,2026-08-21|USD,1000000.0
AFGE,ejected_below_floor,135248.87999999998,2026-08-21|USD,1000000.0
VX1.DE,ejected_below_floor,49808.97885600001,2026-08-21|EUR,1000000.0
HCO.PA,ejected_below_floor,56103.69986560001,2026-08-21|EUR,1000000.0
0KGE.L,ejected_below_floor,133947.24,2026-08-21|USD,1000000.0
CCZ,ejected_below_floor,10033.9349,2026-08-21|USD,1000000.0
PCX.DE,ejected_below_floor,10618.049305600001,2026-08-21|EUR,1000000.0
ALLOG.PA,ejected_below_floor,127351.01849216002,2026-08-21|EUR,1000000.0
AJ91.DE,ejected_below_floor,8189.921664,2026-08-21|EUR,1000000.0
WEYS,ejected_below_floor,970830.8400000001,2026-08-21|USD,1000000.0
0HW9.L,ejected_below_floor,896.98,2026-08-21|SEK,1000000.0
0KV3.L,ejected_below_floor,853305.89,2026-08-21|USD,1000000.0
058630.KQ,ejected_below_floor,204522.221019781,2026-08-21|KRW,1000000.0
0A18.L,ejected_below_floor,10453.618771200001,2026-08-21|CAD,1000000.0
366030.KQ,ejected_below_floor,440772.8727872547,2026-08-21|KRW,1000000.0
094280.KS,ejected_below_floor,145527.37755612,2026-08-21|KRW,1000000.0
0QYN.L,ejected_below_floor,140650.650504,2026-08-21|CAD,1000000.0
COZ.DE,ejected_below_floor,17592.585296,2026-08-21|EUR,1000000.0
KCC.OL,ejected_below_floor,461006.04576,2026-08-21|NOK,1000000.0
EXM.BR,ejected_below_floor,20073.146432000005,2026-08-21|EUR,1000000.0
0N66.L,ejected_below_floor,305275.642752,2026-08-21|EUR,1000000.0
SYS1.L,ejected_below_floor,142692.80718,2026-08-21|GBp,1000000.0
119610.KQ,ejected_below_floor,753649.0216081218,2026-08-21|KRW,1000000.0
215000.KQ,ejected_below_floor,770534.660558845,2026-08-21|KRW,1000000.0
CTP2.DE,ejected_below_floor,190973.3614272,2026-08-21|EUR,1000000.0
0HGC.L,ejected_below_floor,251094.92,2026-08-21|USD,1000000.0
ALS.DE,ejected_below_floor,3531.5500640000005,2026-08-21|EUR,1000000.0
0F6L.L,ejected_below_floor,787623.7819944002,2026-08-21|EUR,1000000.0
0R3D.L,ejected_below_floor,193188.87,2026-08-21|USD,1000000.0
MZX.DE,ejected_below_floor,21538.895664000003,2026-08-21|EUR,1000000.0
SINT.ST,ejected_below_floor,52559.2732,2026-08-21|SEK,1000000.0
CARE.ST,ejected_below_floor,35628.71312,2026-08-21|SEK,1000000.0
AFGC,ejected_below_floor,190032.00000000003,2026-08-21|USD,1000000.0
NIL-B.ST,ejected_below_floor,136507.13076000003,2026-08-21|SEK,1000000.0
WWIB.OL,ejected_below_floor,429029.2143,2026-08-21|NOK,1000000.0
ELEC.PA,ejected_below_floor,533063.5786560001,2026-08-21|EUR,1000000.0
107590.KS,ejected_below_floor,26431.952912316,2026-08-21|KRW,1000000.0
0UGS.L,ejected_below_floor,249313.1998752,2026-08-21|CAD,1000000.0
0VQD.L,ejected_below_floor,608292.2999999999,2026-08-21|USD,1000000.0
JIM.L,ejected_below_floor,3594.5332304,2026-08-21|GBp,1000000.0
UT8.DE,ejected_below_floor,923372.3423232001,2026-08-21|EUR,1000000.0
ET.TO,ejected_below_floor,416528.6377247999,2026-08-21|CAD,1000000.0
XTC.TO,ejected_below_floor,93550.86472320001,2026-08-21|CAD,1000000.0
053210.KS,ejected_below_floor,130410.31444491471,2026-08-21|KRW,1000000.0
NOVA.IC,ejected_below_floor,62952.95656020001,2026-08-21|ISK,1000000.0
ALGIL.PA,ejected_below_floor,73849.364992,2026-08-21|EUR,1000000.0
ABL.DE,ejected_below_floor,144127.5939072,2026-08-21|EUR,1000000.0
690D.DE,ejected_below_floor,144700.47795360003,2026-08-21|EUR,1000000.0
SHF.DE,ejected_below_floor,20017.721376000005,2026-08-21|EUR,1000000.0
0D1X.L,ejected_below_floor,2328.200208,2026-08-21|EUR,1000000.0
003100.KQ,ejected_below_floor,486170.922326824,2026-08-21|KRW,1000000.0
0HCZ.L,ejected_below_floor,538567.38,2026-08-21|USD,1000000.0
ZZ-B.ST,ejected_below_floor,829252.66984,2026-08-21|SEK,1000000.0
0NJB.L,ejected_below_floor,1340.8689279999999,2026-08-21|EUR,1000000.0
TFW.L,ejected_below_floor,169033.56435139998,2026-08-21|GBp,1000000.0
ESSITY-A.ST,ejected_below_floor,566451.47475,2026-08-21|SEK,1000000.0
0UWL.L,ejected_below_floor,1624.7815865999999,2026-08-21|CAD,1000000.0
RICO.L,ejected_below_floor,167139.45947159998,2026-08-21|JPY,1000000.0
000050.KS,ejected_below_floor,306699.9969824973,2026-08-21|KRW,1000000.0
DP4B.DE,ejected_below_floor,116473.78400000001,2026-08-21|EUR,1000000.0
EDL.DE,ejected_below_floor,17822.958729600003,2026-08-21|EUR,1000000.0
ALDLT.PA,ejected_below_floor,58320.377440000004,2026-08-21|EUR,1000000.0
096760.KS,ejected_below_floor,299040.5054991784,2026-08-21|KRW,1000000.0
TECK-A.TO,ejected_below_floor,521104.3599762,2026-08-21|CAD,1000000.0
ALVU.PA,ejected_below_floor,55331.134880000005,2026-08-21|EUR,1000000.0
VETO.PA,ejected_below_floor,709474.9226400001,2026-08-21|EUR,1000000.0
MTU.PA,ejected_below_floor,351482.1668960001,2026-08-21|EUR,1000000.0
LPE.PA,ejected_below_floor,273041.45056,2026-08-21|EUR,1000000.0
0O1O.L,ejected_below_floor,11509.859328000002,2026-08-21|EUR,1000000.0
TAGM-B.ST,ejected_below_floor,84127.337,2026-08-21|SEK,1000000.0
0DK7.L,ejected_below_floor,1402.5553920000002,2026-08-21|EUR,1000000.0
JEN.BR,ejected_below_floor,306087.77056000003,2026-08-21|EUR,1000000.0
HMM-A.TO,ejected_below_floor,274173.25672799995,2026-08-21|CAD,1000000.0
0OQQ.L,ejected_below_floor,1641.5904400000002,2026-08-21|EUR,1000000.0
INF.PA,ejected_below_floor,171727.8108,2026-08-21|EUR,1000000.0
0HYP.L,ejected_below_floor,117222.3,2026-08-21|USD,1000000.0
IC2.DE,ejected_below_floor,8470.8965504,2026-08-21|EUR,1000000.0
ADP.DE,ejected_below_floor,43232.99308000001,2026-08-21|EUR,1000000.0
PGH.L,ejected_below_floor,235218.5683155,2026-08-21|GBp,1000000.0
UZU.DE,ejected_below_floor,34365.389952000005,2026-08-21|EUR,1000000.0
DEQ.DE,ejected_below_floor,163000.799472,2026-08-21|EUR,1000000.0
0ABJ.L,ejected_below_floor,615890.855919339,2026-08-21|SEK,1000000.0
CHV.DE,ejected_below_floor,690842.6653312001,2026-08-21|EUR,1000000.0
FFARM.AS,ejected_below_floor,711070.1206848001,2026-08-21|EUR,1000000.0
EBA.DE,ejected_below_floor,33967.164403200004,2026-08-21|EUR,1000000.0
JEL.L,ejected_below_floor,18483.477936,2026-08-21|GBp,1000000.0
ELIX.L,ejected_below_floor,598144.4567616,2026-08-21|GBp,1000000.0
YGR.TO,ejected_below_floor,178863.7829013,2026-08-21|CAD,1000000.0
KEI.TO,ejected_below_floor,126534.9232611,2026-08-21|CAD,1000000.0
3V64.DE,ejected_below_floor,769055.350464,2026-08-21|EUR,1000000.0
DLCG.TO,ejected_below_floor,215019.5975811,2026-08-21|CAD,1000000.0
REP.DE,ejected_below_floor,420568.8614640001,2026-08-21|EUR,1000000.0
AKVA.OL,ejected_below_floor,65538.21204,2026-08-21|NOK,1000000.0
HMSB.DE,ejected_below_floor,7586.942276000001,2026-08-21|EUR,1000000.0
SNX.ST,ejected_below_floor,73933.10715,2026-08-21|SEK,1000000.0
KFI1.DE,ejected_below_floor,4207.081777920001,2026-08-21|EUR,1000000.0
SDG.PA,ejected_below_floor,43496.146144,2026-08-21|EUR,1000000.0
0HDQ.L,ejected_below_floor,701.2776960000001,2026-08-21|EUR,1000000.0
STGO.TO,ejected_below_floor,513267.8022296999,2026-08-21|CAD,1000000.0
BEIA-B.ST,ejected_below_floor,984068.9355,2026-08-21|SEK,1000000.0
SOF-B.ST,ejected_below_floor,43125.343415,2026-08-21|SEK,1000000.0
F3A.DE,ejected_below_floor,184285.760256,2026-08-21|EUR,1000000.0
EQS.PA,ejected_below_floor,432440.95484,2026-08-21|EUR,1000000.0
UU2.DE,ejected_below_floor,287039.17600000004,2026-08-21|EUR,1000000.0
THEP.PA,ejected_below_floor,379400.7416,2026-08-21|EUR,1000000.0
CEMX.TO,ejected_below_floor,27740.40622695,2026-08-21|CAD,1000000.0
0RUJ.L,ejected_below_floor,10495.975040000001,2026-08-21|EUR,1000000.0
039840.KQ,ejected_below_floor,214200.958398322,2026-08-21|KRW,1000000.0
0DZJ.L,ejected_below_floor,121.05388800000001,2026-08-21|EUR,1000000.0
BRM.DE,ejected_below_floor,111193.70096640002,2026-08-21|EUR,1000000.0
AUB.PA,ejected_below_floor,505151.84512000007,2026-08-21|EUR,1000000.0
0FNZ.L,ejected_below_floor,1503.201728,2026-08-21|EUR,1000000.0
FIV.DE,ejected_below_floor,124161.52334960003,2026-08-21|EUR,1000000.0
IWS.OL,ejected_below_floor,19443.245132000004,2026-08-21|NOK,1000000.0
0IPY.L,ejected_below_floor,55253.44704000001,2026-08-21|EUR,1000000.0
0N0B.L,ejected_below_floor,603152.1575300774,2026-08-21|NOK,1000000.0
0R20.L,ejected_below_floor,315554.9865426,2026-08-21|CAD,1000000.0
TAL.TO,ejected_below_floor,260699.89002750002,2026-08-21|CAD,1000000.0
PTAL.L,ejected_below_floor,176419.38543599998,2026-08-21|GBp,1000000.0
BWE.OL,ejected_below_floor,661127.77225,2026-08-21|NOK,1000000.0
ALCA.ST,ejected_below_floor,49765.63942,2026-08-21|SEK,1000000.0
0Q76.L,ejected_below_floor,1101.0338112,2026-08-21|EUR,1000000.0
MCAP.ST,ejected_below_floor,940530.1521000001,2026-08-21|SEK,1000000.0
MRD.TO,ejected_below_floor,75503.758554,2026-08-21|CAD,1000000.0
BSD.PA,ejected_below_floor,53996.759264,2026-08-21|EUR,1000000.0
AEC1.DE,ejected_below_floor,69508.12211200001,2026-08-21|EUR,1000000.0
CINT,ejected_below_floor,649816.72,2026-08-21|USD,1000000.0
185.DE,ejected_below_floor,91726.496496,2026-08-21|EUR,1000000.0
TII.DE,ejected_below_floor,363334.31652800005,2026-08-21|EUR,1000000.0
ULTP.L,ejected_below_floor,120651.52246,2026-08-21|GBp,1000000.0
0M3Q.L,ejected_below_floor,904731.012,2026-08-21|USD,1000000.0
GIS.DE,ejected_below_floor,142673.13840000003,2026-08-21|EUR,1000000.0
003090.KS,ejected_below_floor,746493.5031184701,2026-08-21|KRW,1000000.0
0IP9.L,ejected_below_floor,386515.61,2026-08-21|USD,1000000.0
0IWU.L,ejected_below_floor,40726.516672000005,2026-08-21|EUR,1000000.0
FAA.DE,ejected_below_floor,138502.34496000002,2026-08-21|EUR,1000000.0
CPH.TO,ejected_below_floor,306956.418939,2026-08-21|CAD,1000000.0
KSB.DE,ejected_below_floor,164637.92576,2026-08-21|EUR,1000000.0
POLN.L,ejected_below_floor,858547.7184899999,2026-08-21|GBp,1000000.0
ALSTW.PA,ejected_below_floor,34321.792,2026-08-21|EUR,1000000.0
ALITL.PA,ejected_below_floor,27300.898400000002,2026-08-21|EUR,1000000.0
DR.TO,ejected_below_floor,381571.91240400006,2026-08-21|CAD,1000000.0
GPE.PA,ejected_below_floor,25736.705920000004,2026-08-21|EUR,1000000.0
ALDNX.PA,ejected_below_floor,28004.958944,2026-08-21|EUR,1000000.0
0HPW.L,ejected_below_floor,628380.0,2026-08-21|USD,1000000.0
AINN.DE,ejected_below_floor,6583.313942400002,2026-08-21|EUR,1000000.0
LAS-A.TO,ejected_below_floor,226424.30255999998,2026-08-21|CAD,1000000.0
0RPZ.L,ejected_below_floor,282097.49820000003,2026-08-21|SEK,1000000.0
PMTA.DE,ejected_below_floor,2451.5035648,2026-08-21|EUR,1000000.0
ALERS.PA,ejected_below_floor,29258.400063999998,2026-08-21|EUR,1000000.0
