source,RoA,earnYield,grahamNumberToPrice,bVpRatio,revenueGrowth,incomeQuality,returnOnEquity,returnOnCapitalEmployed,currentRatio,grossProfitMargin,freeCashFlowYield,freeCashFlowPerShareGrowth,DcfToPrice,marketCapRevQuants,Altman-Z,Piotroski,tbVpRatio,BoScore,EPStoEPSmean,priceGrowth,CycleHeat,AggScore,rankOfRanks,symbol,buy_price,eval_price,total_return,current_price,current_return
CPH.TO,1.9510576017860122,-0.12128952972798078,-0.06033287208878043,-0.023305383766375184,-0.3651019022080761,-0.413803219675869,0.16763514562730475,1.1286910974146813,-0.11217387065941792,1.1657224636236085,0.2000147736117949,0.3154464668682546,0.42935440357288585,0.3794733192202055,0.033772127572660585,-0.025424429690212302,-0.1757538303804137,-0.002708386552798836,0.062052570061843795,-0.04454406642041412,-0.7187081520960805,0.37700743260928327,0.7,CPH.TO,0.708192,1.0441653499999999,0.4744099763905831,2.3026575,2.251459350006778
THS.L,1.8153279197650307,-0.10399574907670803,-0.08696794692204801,-0.01700438167309663,0.024483977534270042,0.11170968745172341,0.19921285077087433,1.6540984706225672,-0.13526655622329528,-0.6300350454598236,0.2000043078776248,0.24912634657858373,0.3857050274411541,0.3794733192202055,-0.11793604418662194,-0.025424429690212302,-0.024947690901200584,-0.06594989996838696,0.06562329728164099,-0.03480733172869593,-0.7187081520960805,0.31237219766175056,0.5,THS.L,0.28506824999999997,0.22775800000000004,-0.20104045259336994,0.20460500000000004,-0.28225959923632304
YRD,-0.8757511796912978,0.6169614101579394,0.41059751379307924,0.5354413082841206,-0.43020247947937035,-0.07358361423162689,0.03074342923252303,-0.2112900531723549,0.2911683234593296,1.0098681163694505,0.20008182272337666,0.0,0.0,0.3794733192202055,-0.12026109547819648,0.6101863125650947,0.970211874146943,0.12377464027837781,-0.05567590615643437,0.13406049268138778,-0.7187081520960805,0.28270960826064667,0.6,YRD,2.362291,5.535894,1.343442869654924,10.55317625,3.467348116722284
CAPD.L,0.33337061298924003,-0.2307126303994728,-0.09605438349896372,-0.03750869771109959,0.05123262842667012,-0.18894133066335356,0.11197691382108535,0.6060334644673492,-0.06729634572495588,-0.3280933892302004,0.19999275414804904,0.7503415171055331,0.0,0.3794733192202055,-0.1028225735078752,1.2457970548204016,-0.043150067940693884,-0.05632619140514505,0.06854109529357863,-0.013891924373453149,0.06885962583502299,0.2650821451671922,1.2,CAPD.L,0.29307822499999997,0.286425,-0.02270119180638543,0.29247456,-0.002059740193936194
PXT.TO,1.6424546562868272,-0.2244136358908551,-0.17552769312143388,-0.06631123507799004,0.11538045143919892,-0.31093405565704635,0.14927316529216714,1.005490063525549,-0.07078743530220558,0.9286415684177707,0.19999920069760183,0.20949215421248674,0.0,-0.09486832980505136,-0.09070534368335179,-0.025424429690212302,-0.10865874734294859,0.16089465902231065,0.04690398264314784,0.04438625652185981,-0.7187081520960805,0.26165771003917443,1.1,PXT.TO,3.7161637499999998,4.702513625,0.26542153181489925,2.5542237500000002,-0.3126719052678988
BWFG,-2.0510499185650817,-0.2858251028448277,-0.19120680413399505,-0.033788982973920655,-0.14021603503490662,-0.10735811954840478,0.029356455462284443,-0.5813905081054704,-0.22871816004118628,0.8665279473469454,0.19999820509857533,3.464904072933435,0.3184256353183448,0.3794733192202055,-0.2394325748329342,0.6101863125650947,-0.039362098079983456,-0.096195841167146,0.05784847088841602,0.050390243316744916,0.27283069311775665,0.22553972099399458,2.5,BWFG,7.3575,7.545,0.025484199796126403,11.0625,0.5035677879714577
0A37.L,0.4518226457904723,-0.24622330918662308,-0.1813116385375836,-0.06413608520125366,-0.172703918985623,-0.16362585063875193,0.11684922814515815,0.091709345179635,-0.16504368438087363,0.6526568873001377,0.19999803414612852,0.4248605778179073,0.0,0.14230249470757708,-0.096564016942701,0.6101863125650947,-0.2614695759849818,0.004165690992374186,0.06899796478633062,-0.00027453664190924557,0.36830753703586017,0.17805041019663748,1.9,0A37.L,1.7433587999999998,2.2888026,0.3128695022504835,3.4969677500000005,1.0058795412625336
BETS-B.ST,0.4518226457904723,-0.24622330918662308,-0.1813116385375836,-0.06413608520125366,-0.172703918985623,-0.16362585063875193,0.11684922814515815,0.091709345179635,-0.16504368438087363,0.6526568873001377,0.19999803414612852,0.4248605778179073,0.0,0.14230249470757708,-0.096564016942701,0.6101863125650947,-0.2614695759849818,0.004165690992374186,0.06899796478633062,-0.00027453664190924557,0.36830753703586017,0.17805041019663748,1.9,BETS-B.ST,1.7433587999999998,2.2888026,0.3128695022504835,3.4969677500000005,1.0058795412625336
MT,-0.5338420211410356,-0.19042091035343364,0.8792432034382944,0.08154544212404817,-0.1188730669664457,-0.2489409137622299,0.06183239468928039,-0.2558078033614697,-0.15623764840909646,-0.43590278525416826,0.20000356708781222,-0.07152869365641282,-0.0521980716747368,-0.33203915431767983,-0.15589785753722854,-0.6610351719455193,0.6578461610691214,0.00966495302851237,0.07076505824941336,1.5488806819668053,0.6052426313775309,0.0902299994651362,1.5,MT,0.7585249935509086,,,1.6618070615299358,1.1908402170777028
0RJ6.L,0.2236263621091946,-0.06027599360477537,-0.003647015002366536,0.011130404408213208,-0.1948671382141355,-0.13407806620975704,0.15369752085637217,0.6248709266635498,-0.1550588734142673,-0.905484826147515,0.19999736205625163,-0.3279574005544392,0.42062865743718436,0.14230249470757708,-0.12790390507542565,0.6101863125650947,-0.03178014321834527,-0.07419879302259365,0.0401101311781775,0.04586366982095848,0.3624145830762911,0.08195762704152443,2.1,0RJ6.L,12.0,16.1875,0.3489583333333333,17.324814521078743,0.44373454342322854
